oid,lon,lat
hu00480_005429,24.536245169685237,-17.533333333768496
hu00500_004905,30.8301512,-24.254317873425894
hu00504_002430,27.895908748408914,-25.781591286667343
hu00504_002433,27.801839310231895,-25.76250000088109
hu00504_002441,27.913491785857378,-25.13000000224575
hu00504_002443,26.441832331496745,-25.113167669779028
hu00507_004643,31.759022379046133,-24.969855713519507
hu00517_000445,25.623820906665674,-33.96617911794413
hu00517_000577,25.6225,-33.85968909200861
hu00517_000937,26.893522748584786,-33.59685608382288
hu00517_001055,27.09430889912076,-33.4773577780349
hu00517_001244,27.476059815389537,-33.28083333539467
hu00517_002112,26.933134085638898,-32.029365916236266
hu00521_000516,19.86264120798101,-33.81680787618469
hu00527_000499,18.47833333333333,-33.915261575251094
hu00527_001283,18.639999999999997,-31.874720560538663
hu01556_005598,-139.7104175999729,63.896666693609646
hu01556_005610,-139.74458720626745,63.92000000784374
hu01556_005638,-139.62030170750324,63.99750000055153
hu01556_005646,-139.69626258879325,63.957500000597086
hu01556_005695,-139.5696542364276,64.0238209097126
hu07444_000987,114.21087590955382,22.40004257802361
hu07444_001159,114.1836446516971,22.43114471669772
hu07444_001167,114.1685225765137,22.45018924443481
hu08960_000967,143.37844135851296,42.92989197643342
hu08960_001068,141.62666666666667,42.652707383865376
hu09332_003057,138.88583333333332,34.64274850808601
hu09332_005366,139.94610391455427,35.94222949103434
hu09332_005711,140.58285290090544,36.338813903972635
hu09332_007980,140.9503495484789,38.18048383256294
hu09532_000218,129.39989842509243,28.253231777473776
hu09532_000232,129.4105566055883,28.259443402456824
hu09532_000234,129.44605219996663,28.2908333608514
hu09575_000587,121.53064862493147,25.009351382652646
hu11073_010030,117.59166666666667,4.413640839357948
hu11073_010744,117.73583333333335,4.366714713276074
hu11073_010870,118.8125,5.431374800601161
hu13847_002486,145.3972144607152,-16.44111887722677
hu13847_002635,145.40155819736236,-16.406666667066307
hu13847_002694,145.44890620672314,-16.278906253074055
hu13847_002761,145.43068083144047,-16.18068083220877
hu13847_002994,145.23072935428445,-15.457396021487131
hu16392_001834,146.0575,-17.515537227473594
hu16392_002044,145.75182173722033,-16.86984493125497
hu16663_000789,153.3277745666379,-27.6958333338843
hu16663_000805,153.38701175085595,-27.875833356659804
hu16721_000276,147.25693476637267,-38.038601439747474
hu16721_001090,147.08826709779865,-38.13826710366163
hu16735_001474,143.95320109282295,-36.56820110441428
hu17128_000718,148.00666666666666,-42.26248013484651
hu17128_000760,148.0608214848975,-42.11501184883034
hu17128_000806,148.11470275771916,-42.07750000263083
hu17128_000979,148.2590367773279,-41.78166667081734
hu17128_001075,148.25512160669206,-41.45845494173469
hu17509_001915,171.65333333333334,-44.10428759827448
hu17509_001922,171.80007761486343,-44.04507770461855
hu17509_002157,172.71275173784247,-43.81891498031593
hu17509_002225,172.43833333333333,-43.7345400923968
hu17509_002230,172.45166666666665,-43.71856673040519
hu17509_002297,172.69640602486984,-43.390000006887504
hu17509_002323,172.71226215769926,-43.27750003518568
hu17509_002330,172.7161333844111,-43.26696672107007
hu17509_002428,173.36302733734271,-42.77666668167105
hu17813_006169,37.08595654610981,40.33154353524378
hu17813_006171,36.08660149047334,40.39993482476598
hu17868_005815,15.193949035984087,48.20938430054681
hu18229_007986,0.6453297331745721,41.13217027545072
hu18229_012609,4.778374149993673,44.77250000028955
hu18241_000504,-8.145774795759102,37.08910814111107
hu18355_002564,-1.3801754372831776,48.6491666671662
hu18418_002344,7.290384442786733,52.69538445760813
hu18519_005617,9.69149320922877,56.03916666712948
hu18519_005619,10.209421508608877,56.47333333950632
hu18519_006057,10.210633916962134,56.15436608683832
hu18519_006217,10.235404250153069,56.47416666736362
hu23724_004540,-100.80048870320948,20.901322045953332
hu23778_002567,-110.71476480111822,32.838333336230555
hu23778_003168,-108.53,33.046734699999995
hu23778_003293,-109.11930972552872,33.2223569445012
hu23778_004263,-111.6647551,33.63416666806792
hu23778_004593,-112.2391429317314,33.94080959870145
hu23781_001428,-111.598401433599,36.86006810116585
hu23883_001606,-123.92071526360377,40.35428473801231
hu23902_008017,-115.1667773860661,49.17988928256252
hu24640_001494,-134.6638102993613,56.37368974187156
hu26562_004130,-92.90493457724453,46.92589875724539
hu26562_004190,-84.5254136602965,46.93833333558975
hu26562_005558,-84.83032860903053,47.93583333524182
hu26562_006122,-84.65484020625226,48.25265979631919
hu26720_009206,-65.82916666666667,46.94874331423844
hu26951_001026,-71.40076311985135,41.76840356055273
hu26951_001203,-71.38382759927673,41.824166667393435
hu27029_001281,-73.87333333333333,41.190112636314964
hu27029_004554,-73.84243290084606,43.315067100223956
hu27058_004623,-75.18031231532176,39.955521021089915
hu27058_006200,-74.68925157485019,41.360918255051324
hu27058_007096,-74.73012084999466,42.116666697233626
hu27058_007273,-74.82233042236577,42.11183624656537
hu27058_007310,-75.30447416051175,42.12802585305713
hu27104_006000,-79.09416666666667,35.71895390215394
hu27255_011827,-80.51540889176717,33.059166667359094
hu27394_016245,-94.0458418758474,35.469175209297404
hu27396_019965,-83.00904642335784,39.80154642497273
hu27397_019995,-105.66182746627013,41.78650586921887
hu27397_022286,-106.28969730871852,41.966136027832896
hu27397_025110,-107.53947502008988,42.463858316532665
hu27398_023010,-92.76578540876359,45.8250479400218
hu27398_023222,-92.73745238391429,45.85828571808362
hu27533_004299,-93.76583333333333,16.983263110570487
hu27533_004345,-90.77190038047817,16.4047662916232
hu27533_004568,-93.76648508319514,16.98481841744789
hu27533_004813,-91.43606871699748,17.237264617445632
hu27533_005031,-91.71439408218838,17.710605918928103
hu27689_006084,-88.49305560343386,16.36722227125557
hu29084_000240,-65.81222438801568,18.400557726556656
hu29227_012709,-66.49076020094077,7.948333334156891
hu29630_010611,-54.65096908320472,-23.721802417568693
hu29632_006709,-49.43333333333333,-21.1860403005106
hu29635_009066,-49.65511532649827,-20.171781993929773
hu29635_010227,-49.26844982362448,-20.417616496657324
